reclat,reclon, 
42.95816,-78.82015, 
42.95816,-78.82017, 
42.95816,-78.82018, 
42.95816,-78.82019, 
42.95817,-78.82019, 
42.95818,-78.8202, 
42.95818,-78.82022, 
42.95819,-78.82022, 
42.9582,-78.82023, 
42.95821,-78.82023, 
42.95821,-78.82024, 
42.9582,-78.82025, 
42.95819,-78.82026, 
42.95817,-78.82027, 
42.95816,-78.82028, 
42.95814,-78.82029, 
42.95812,-78.82031, 
42.95811,-78.82032, 
42.95809,-78.82034, 
42.95808,-78.82035, 
42.95807,-78.82036, 
42.95806,-78.82038, 
42.95805,-78.82039, 
42.95804,-78.82039, 
42.95803,-78.82038, 
42.95804,-78.82037, 
42.95805,-78.82037, 
42.95806,-78.82037, 
42.95807,-78.82037, 
42.95808,-78.82037, 
42.95809,-78.82037, 
42.95808,-78.82038, 
42.95806,-78.82038, 
42.95805,-78.82037, 
42.95804,-78.82037, 
42.95803,-78.82038, 
42.95802,-78.82038, 
42.95801,-78.82037, 
42.958,-78.82035, 
42.958,-78.82032, 
42.958,-78.8203, 
42.958,-78.82028, 
42.958,-78.82027, 
42.958,-78.82025, 
42.958,-78.82023, 
42.95801,-78.82021, 
42.95801,-78.82019, 
42.95801,-78.82017, 
42.95802,-78.82016, 
42.95802,-78.82014, 
42.95802,-78.82012, 
42.95802,-78.82011, 
42.95802,-78.82009, 
42.95802,-78.82007, 
42.95802,-78.82006, 
42.95803,-78.82004, 
42.95803,-78.82003, 
42.95802,-78.82001, 
42.95802,-78.81999, 
42.95802,-78.81997, 
42.95802,-78.81995, 
42.95802,-78.81994, 
42.95801,-78.81988, 
42.95801,-78.81986, 
42.95801,-78.81984, 
42.95801,-78.81983, 
42.95801,-78.81981, 
42.95801,-78.8198, 
42.95801,-78.81978, 
42.95801,-78.81977, 
42.95802,-78.81975, 
42.95802,-78.81974, 
42.95802,-78.81972, 
42.95802,-78.8197, 
42.95802,-78.81968, 
42.95802,-78.81966, 
42.95801,-78.81965, 
42.95801,-78.81963, 
42.95801,-78.81961, 
42.95801,-78.81959, 
42.95801,-78.81957, 
42.95801,-78.81955, 
42.95801,-78.81953, 
42.95801,-78.81951, 
42.95801,-78.8195, 
42.95801,-78.81948, 
42.95801,-78.81946, 
42.95801,-78.81944, 
42.95801,-78.81942, 
42.95801,-78.81941, 
42.958,-78.81939, 
42.958,-78.81937, 
42.958,-78.81935, 
42.958,-78.81934, 
42.958,-78.81932, 
42.958,-78.8193, 
42.95799,-78.81929, 
42.95799,-78.81927, 
42.95798,-78.81926, 
42.95798,-78.81924, 
42.95798,-78.81923, 
42.95798,-78.81922, 
